Param,Value
NormalShellTypeInfo:FullBurstInfo:ConstOffsetAngle,"{'x': -8.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
NormalShellTypeInfo:FullBurstInfo:DelayTime,0.04
NormalShellTypeInfo:JumpFullBurstInfo:OffsetAngle,"{'x': -10.0, 'y': 27.0, 'pad1': 0.0, 'pad2': 0.0}"
NormalShellTypeInfo:JumpFullBurstInfo:ConstOffsetAngle,"{'x': 15.0, 'y': 10.0, 'pad1': 0.0, 'pad2': 0.0}"
NormalShellTypeInfo:JumpFullBurstInfo:DelayTime,0.03
NormalShellTypeInfo:BulletFireInfo:OffsetAngle,"{'x': -15.0, 'y': 12.0, 'pad1': 0.0, 'pad2': 0.0}"
NormalShellTypeInfo:BulletFireInfo:ConstOffsetAngle,"{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
NormalShellTypeInfo:BulletFireInfo:DelayTime,0.04
NormalShellTypeInfo:BulletFireReloadInfo:OffsetAngle,"{'x': 20.0, 'y': 15.0, 'pad1': 0.0, 'pad2': 0.0}"
NormalShellTypeInfo:BulletFireReloadInfo:ConstOffsetAngle,"{'x': 0.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
NormalShellTypeInfo:BulletFireReloadInfo:DelayTime,0.042
NormalShellTypeInfo:Kireaji_Shot,2
NormalShellTypeInfo:Kireaji_ChargeShot,3
NormalShellTypeInfo:Kireaji_FullBurst,1
NormalShellTypeInfo:Kireaji_Ryuugeki,20
NormalShellTypeInfo:Kireaji_Pile,5
WideShellTypeInfo:ShellNum,2
WideShellTypeInfo:ShotAttackInfo:AttackInfoList[0],"{'Attack': 14.0, 'FireAttack': 8.0}"
WideShellTypeInfo:ShotAttackInfo:AttackInfoList[1],"{'Attack': 19.0, 'FireAttack': 10.0}"
WideShellTypeInfo:ShotAttackInfo:AttackInfoList[2],"{'Attack': 24.0, 'FireAttack': 12.0}"
WideShellTypeInfo:ShotAttackInfo:AttackInfoList[3],"{'Attack': 30.0, 'FireAttack': 14.0}"
WideShellTypeInfo:ShotAttackInfo:AttackInfoList[4],"{'Attack': 36.0, 'FireAttack': 16.0}"
WideShellTypeInfo:ShotAttackInfo:AttackInfoList[5],"{'Attack': 42.0, 'FireAttack': 18.0}"
WideShellTypeInfo:ShotAttackInfo:AttackInfoList[6],"{'Attack': 50.0, 'FireAttack': 20.0}"
WideShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[0],"{'Attack': 46.0, 'FireAttack': 22.0}"
WideShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[1],"{'Attack': 50.0, 'FireAttack': 26.0}"
WideShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[2],"{'Attack': 54.0, 'FireAttack': 30.0}"
WideShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[3],"{'Attack': 61.0, 'FireAttack': 34.0}"
WideShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[4],"{'Attack': 68.0, 'FireAttack': 38.0}"
WideShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[5],"{'Attack': 76.0, 'FireAttack': 42.0}"
WideShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[6],"{'Attack': 84.0, 'FireAttack': 46.0}"
WideShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[0],"{'Attack': 22.0, 'FireAttack': 17.0}"
WideShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[1],"{'Attack': 25.0, 'FireAttack': 21.0}"
WideShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[2],"{'Attack': 28.0, 'FireAttack': 25.0}"
WideShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[3],"{'Attack': 31.0, 'FireAttack': 30.0}"
WideShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[4],"{'Attack': 36.0, 'FireAttack': 34.0}"
WideShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[5],"{'Attack': 41.0, 'FireAttack': 38.0}"
WideShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[6],"{'Attack': 46.0, 'FireAttack': 42.0}"
WideShellTypeInfo:ShotAttackInfo:PileAttackList[0],4.0
WideShellTypeInfo:ShotAttackInfo:PileAttackList[1],5.0
WideShellTypeInfo:ShotAttackInfo:PileAttackList[2],7.0
WideShellTypeInfo:ShotAttackInfo:PileAttackList[3],9.0
WideShellTypeInfo:ShotAttackInfo:PileAttackList[4],12.0
WideShellTypeInfo:ShotAttackInfo:PileAttackList[5],14.0
WideShellTypeInfo:ShotAttackInfo:PileAttackList[6],16.0
WideShellTypeInfo:RyuugekiGauge_GainRate,2.5
WideShellTypeInfo:ChargeShot_AttackRate,1.8
WideShellTypeInfo:ChargeShot_MinChargeTime,0.55
WideShellTypeInfo:ChargeShot_MaxTime,2.1
WideShellTypeInfo:ChargeShot_ChargeTime,0.55
WideShellTypeInfo:ChargeShot_Offset,2.0
WideShellTypeInfo:ChargeShot_MiddleMotCount,1
WideShellTypeInfo:ChargeShot_HeavyMotCount,2
WideShellTypeInfo:FullBurst_AttackRate,1.2
WideShellTypeInfo:FullBurstInfo:OffsetAngle,"{'x': -14.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
WideShellTypeInfo:FullBurstInfo:ConstOffsetAngle,"{'x': -38.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
WideShellTypeInfo:FullBurstInfo:DelayTime,0.1
WideShellTypeInfo:JumpFullBurstInfo:OffsetAngle,"{'x': 0.0, 'y': 80.0, 'pad1': 0.0, 'pad2': 0.0}"
WideShellTypeInfo:JumpFullBurstInfo:ConstOffsetAngle,"{'x': 15.0, 'y': 40.0, 'pad1': 0.0, 'pad2': 0.0}"
WideShellTypeInfo:JumpFullBurstInfo:DelayTime,0.04
WideShellTypeInfo:BulletFireInfo:OffsetAngle,"{'x': -30.0, 'y': 30.0, 'pad1': 0.0, 'pad2': 0.0}"
WideShellTypeInfo:BulletFireInfo:ConstOffsetAngle,"{'x': -10.0, 'y': 10.0, 'pad1': 0.0, 'pad2': 0.0}"
WideShellTypeInfo:BulletFireInfo:DelayTime,0.07
WideShellTypeInfo:BulletFireReloadInfo:OffsetAngle,"{'x': 40.0, 'y': 35.0, 'pad1': 0.0, 'pad2': 0.0}"
WideShellTypeInfo:BulletFireReloadInfo:ConstOffsetAngle,"{'x': 10.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
WideShellTypeInfo:BulletFireReloadInfo:DelayTime,0.07
WideShellTypeInfo:Kireaji_Shot,4
WideShellTypeInfo:Kireaji_ChargeShot,5
WideShellTypeInfo:Kireaji_FullBurst,3
WideShellTypeInfo:Kireaji_Ryuugeki,20
WideShellTypeInfo:Kireaji_Pile,5
LongShellTypeInfo:ShellNum,3
LongShellTypeInfo:ShotAttackInfo:AttackInfoList[0],"{'Attack': 7.0, 'FireAttack': 13.0}"
LongShellTypeInfo:ShotAttackInfo:AttackInfoList[1],"{'Attack': 11.0, 'FireAttack': 15.0}"
LongShellTypeInfo:ShotAttackInfo:AttackInfoList[2],"{'Attack': 14.0, 'FireAttack': 18.0}"
LongShellTypeInfo:ShotAttackInfo:AttackInfoList[3],"{'Attack': 18.0, 'FireAttack': 22.0}"
LongShellTypeInfo:ShotAttackInfo:AttackInfoList[4],"{'Attack': 21.0, 'FireAttack': 26.0}"
LongShellTypeInfo:ShotAttackInfo:AttackInfoList[5],"{'Attack': 25.0, 'FireAttack': 30.0}"
LongShellTypeInfo:ShotAttackInfo:AttackInfoList[6],"{'Attack': 29.0, 'FireAttack': 34.0}"
LongShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[0],"{'Attack': 38.0, 'FireAttack': 21.0}"
LongShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[1],"{'Attack': 43.0, 'FireAttack': 24.0}"
LongShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[2],"{'Attack': 48.0, 'FireAttack': 27.0}"
LongShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[3],"{'Attack': 54.0, 'FireAttack': 30.0}"
LongShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[4],"{'Attack': 60.0, 'FireAttack': 33.0}"
LongShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[5],"{'Attack': 67.0, 'FireAttack': 36.0}"
LongShellTypeInfo:ShotAttackInfo:RyuugekiAttackInfoList[6],"{'Attack': 74.0, 'FireAttack': 39.0}"
LongShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[0],"{'Attack': 32.0, 'FireAttack': 17.0}"
LongShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[1],"{'Attack': 37.0, 'FireAttack': 21.0}"
LongShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[2],"{'Attack': 42.0, 'FireAttack': 25.0}"
LongShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[3],"{'Attack': 49.0, 'FireAttack': 30.0}"
LongShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[4],"{'Attack': 56.0, 'FireAttack': 34.0}"
LongShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[5],"{'Attack': 63.0, 'FireAttack': 38.0}"
LongShellTypeInfo:ShotAttackInfo:PileBlastAttackInfoList[6],"{'Attack': 70.0, 'FireAttack': 42.0}"
LongShellTypeInfo:ShotAttackInfo:PileAttackList[0],4.0
LongShellTypeInfo:ShotAttackInfo:PileAttackList[1],5.0
LongShellTypeInfo:ShotAttackInfo:PileAttackList[2],7.0
LongShellTypeInfo:ShotAttackInfo:PileAttackList[3],9.0
LongShellTypeInfo:ShotAttackInfo:PileAttackList[4],12.0
LongShellTypeInfo:ShotAttackInfo:PileAttackList[5],14.0
LongShellTypeInfo:ShotAttackInfo:PileAttackList[6],16.0
LongShellTypeInfo:RyuugekiGauge_GainRate,1.3
LongShellTypeInfo:ChargeShot_AttackRate,1.8
LongShellTypeInfo:ChargeShot_MinChargeTime,0.5
LongShellTypeInfo:ChargeShot_MaxTime,2.5
LongShellTypeInfo:ChargeShot_ChargeTime,0.5
LongShellTypeInfo:ChargeShot_Offset,2.0
LongShellTypeInfo:ChargeShot_MiddleMotCount,2
LongShellTypeInfo:ChargeShot_HeavyMotCount,3
LongShellTypeInfo:FullBurst_AttackRate,1.2
LongShellTypeInfo:FullBurstInfo:OffsetAngle,"{'x': -20.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
LongShellTypeInfo:FullBurstInfo:ConstOffsetAngle,"{'x': -13.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
LongShellTypeInfo:FullBurstInfo:DelayTime,0.07
LongShellTypeInfo:JumpFullBurstInfo:OffsetAngle,"{'x': 0.0, 'y': 40.0, 'pad1': 0.0, 'pad2': 0.0}"
LongShellTypeInfo:JumpFullBurstInfo:ConstOffsetAngle,"{'x': 15.0, 'y': 40.0, 'pad1': 0.0, 'pad2': 0.0}"
LongShellTypeInfo:JumpFullBurstInfo:DelayTime,0.04
LongShellTypeInfo:BulletFireInfo:OffsetAngle,"{'x': -20.0, 'y': 15.0, 'pad1': 0.0, 'pad2': 0.0}"
LongShellTypeInfo:BulletFireInfo:ConstOffsetAngle,"{'x': -10.0, 'y': 10.0, 'pad1': 0.0, 'pad2': 0.0}"
LongShellTypeInfo:BulletFireInfo:DelayTime,0.07
LongShellTypeInfo:BulletFireReloadInfo:OffsetAngle,"{'x': 25.0, 'y': 22.0, 'pad1': 0.0, 'pad2': 0.0}"
LongShellTypeInfo:BulletFireReloadInfo:ConstOffsetAngle,"{'x': 10.0, 'y': 0.0, 'pad1': 0.0, 'pad2': 0.0}"
LongShellTypeInfo:BulletFireReloadInfo:DelayTime,0.07
LongShellTypeInfo:Kireaji_Shot,3
LongShellTypeInfo:Kireaji_ChargeShot,4
LongShellTypeInfo:Kireaji_FullBurst,2
LongShellTypeInfo:Kireaji_Ryuugeki,20
LongShellTypeInfo:Kireaji_Pile,5
Shot_ChargeKeepTime,0.4
ChargeShot_DelayTime,0.035
ChargeShot_WorldBlendParam,"{'JointData': [{'JointHash': {'Hash': 608343916}, 'BlendRate': 0.64}, {'JointHash': {'Hash': 2725057162}, 'BlendRate': 0.5}, {'JointHash': {'Hash': 767461792}, 'BlendRate': 0.33}, {'JointHash': {'Hash': 1913148385}, 'BlendRate': 1.0}, {'JointHash': {'Hash': 1951860438}, 'BlendRate': 0.6}, {'JointHash': {'Hash': 1091167843}, 'BlendRate': 0.4}, {'JointHash': {'Hash': 3992101857}, 'BlendRate': 0.25}, {'JointHash': {'Hash': 1549972489}, 'BlendRate': 0.15}], 'FadeOutSpeed': 1.0}"
FullBurst_DelayTime,0.04
RyuugekiShot_ChargeTime,3.0
RyuugekiShot_ChargeTime_Short,1.2
GuardRyuugekiShortTime,0.5
_RyuugekiShotColExtendTime,0.3
RyuugekiAimAdjustParam,"{'InterpolateSpeed': 5.0, 'FadeInSpeed': 5.0, 'FadeOutSpeed': 5.0, 'TargetFollowDamping': 0.5, 'TargetFollowDampingTimeScale': 10.0, 'UpperArmRate': 1.0, 'ShoulderRate': 1.0, 'Spine2Rate': 1.0, 'Spine1Rate': 0.66, 'Spine0Rate': 0.33, 'CogRate': 0.0, 'HipRate': 0.0, 'LFootRate': 0.0, 'RFootRate': 0.0, 'ConstMoveDegX': -5.0, 'ConstMoveDegY': 0.0, 'LimitY': 0.0, 'LimitUpX': 30.0, 'LimitDownX': 33.0}"
RyuugekiGaugeEmissiveColor,"{'R': 171, 'G': 26, 'B': 3, 'A': 255}"
RyuugekiGauge_AutoRecoverTime,600.0
RyuugekiGauge_ReserveAutoRecoverTime,900.0
Pile_AimAdjustParam,"{'InterpolateSpeed': 5.0, 'FadeInSpeed': 5.0, 'FadeOutSpeed': 4.0, 'TargetFollowDamping': 0.5, 'TargetFollowDampingTimeScale': 10.0, 'UpperArmRate': 1.0, 'ShoulderRate': 1.0, 'Spine2Rate': 1.0, 'Spine1Rate': 0.66, 'Spine0Rate': 0.33, 'CogRate': 0.0, 'HipRate': 0.0, 'LFootRate': 0.0, 'RFootRate': 0.0, 'ConstMoveDegX': -15.0, 'ConstMoveDegY': 0.0, 'LimitY': 0.0, 'LimitUpX': 60.0, 'LimitDownX': 20.0}"
Pile_UpMotBorder,23.0
Pile_UpMotDeg,60.0
Pile_FrontUpMotBorder,5.0
Pile_FrontUpMotDeg,15.0
Pile_RBF_BlastRate,1.1
SlidingParam,"{'MaxTransRate': 3.7, 'MinTransRate': 1.8, 'Time': 3.0, 'TurnSpeed': 30.0}"
SlidingTurnSpeed,70.0
AimDrillTime,2.5
AimDrill_AimAdjustParam,"{'InterpolateSpeed': 5.0, 'FadeInSpeed': 5.0, 'FadeOutSpeed': 4.0, 'TargetFollowDamping': 0.5, 'TargetFollowDampingTimeScale': 10.0, 'UpperArmRate': 1.0, 'ShoulderRate': 1.0, 'Spine2Rate': 1.0, 'Spine1Rate': 0.66, 'Spine0Rate': 0.33, 'CogRate': 0.0, 'HipRate': 0.0, 'LFootRate': 0.0, 'RFootRate': 0.0, 'ConstMoveDegX': -5.0, 'ConstMoveDegY': 0.0, 'LimitY': 0.0, 'LimitUpX': 60.0, 'LimitDownX': 30.0}"
RideAttack_FinishTime,3.0
