RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,IsTarDirtyAttack,IsLastResortSuccessFinish,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,IsSensorCollision,IsArrowFlipCollision,Parts,PressLevel,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate,IsOnlyHitEmAttack
9,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,90.0,0.0,ALL_RANGE(1),100.0,SS(-665808704),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,90.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RampageTrampling_FR,,,2,,0,,R_e_f_asi_d,R_Hand1,ContinuousSphere,"{'x': 0.09928846, 'y': -0.27280092, 'z': -0.038535118, 'radius': 2.0}",,,,,,,,,,,,,,,,,,,
10,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,90.0,0.0,ALL_RANGE(1),100.0,SS(-665808704),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,90.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RampageTrampling_BL,,,3,,0,,L_e_b_asi_d,L_Hand1,ContinuousSphere,"{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 2.0}",,,,,,,,,,,,,,,,,,,
11,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,90.0,0.0,ALL_RANGE(1),100.0,SS(-665808704),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,90.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RampageTrampling_BR,,,4,,0,,R_e_b_asi_d,R_Hand1,ContinuousSphere,"{'x': 0.09928846, 'y': -0.2728014, 'z': -0.038535357, 'radius': 2.0}",,,,,,,,,,,,,,,,,,,
12,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,90.0,0.0,ALL_RANGE(1),100.0,SS(-665808704),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,90.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RampageTrampling_Body,,,5,,0,,n_hara,n_hara,ContinuousCapsule,"{'start': {'x': -0.000105679035, 'y': 0.9854809, 'z': 2.3036356}, 'end': {'x': -2.7447939e-05, 'y': 0.2559862, 'z': -2.842622}, 'radius': 2.8}",,,,,,,,,,,,,,,,,,,
13,SMASH(21),NONE(1996289920),CENTER(6),0.0,13.0,0.0,NORMAL(0),90.0,M(-1996372096),NONE(-94023312),ICE(4),0,52.0,FREEZE(2077525120),False,100.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,Burst_ResetJetStartFL,,,11,,0,,root,root,Capsule,"{'start': {'x': 0.0, 'y': 1.3, 'z': 0.0}, 'end': {'x': 0.0, 'y': -2.0, 'z': 0.0}, 'radius': 3.5}",,,,,,,,,,,,,,,,,,,
14,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,65.0,0.0,ALL_RANGE(1),60.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,FREEZE(2077525120),False,50.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,SuperTrampling_F_High,,,1,,0,,L_e_f_asi_d,L_Hand1,ContinuousSphere,"{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 2.0}",,,,,,,,,,,,,,,,,,,
15,SMASH_MIDDLE(20),NONE(1996289920),CENTER(6),0.0,65.0,0.0,ALL_RANGE(1),60.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,FREEZE(2077525120),False,50.0,True,0.0,40.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,SuperTrampling_B_High,,,3,,0,,L_e_b_asi_d,L_Hand1,ContinuousSphere,"{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 2.0}",,,,,,,,,,,,,,,,,,,
16,QUAKE(3),NONE(1996289920),CENTER(6),0.0,0.0,0.0,ALL_RANGE(1),100.0,NONE(1444776192),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),1,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RampageTrampling_Earthquake,,,12,,0,,root,,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 15.0}",,,,,,,,,,,,,,,,,,,
17,QUAKE(3),NONE(1996289920),CENTER(6),0.0,0.0,0.0,ALL_RANGE(1),100.0,NONE(1444776192),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RampageTrampling_Earthquake_FL,,,13,,0,,L_e_f_asi_d,L_Hand1,ContinuousSphere,"{'x': -0.099288374, 'y': -0.27280116, 'z': -0.038535118, 'radius': 4.0}",,,,,,,,,,,,,,,,,,,
18,QUAKE(3),NONE(1996289920),CENTER(6),0.0,0.0,0.0,ALL_RANGE(1),100.0,NONE(1444776192),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,True,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,,RampageTrampling_Earthquake_FR,,,14,,0,,R_e_f_asi_d,R_Hand1,ContinuousSphere,"{'x': 0.09928846, 'y': -0.27280092, 'z': -0.038535118, 'radius': 4.0}",,,,,,,,,,,,,,,,,,,
