RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,MaxHealthDownValue,ForceKillType,IsTarDirtyAttack,IsLastResortSuccessFinish,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,PressLevel,IsSensorCollision,IsArrowFlipCollision,Parts,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type,DamageValue,DamageInterval,ElementDamageValue,ConditionValue,DamageExRate,ElementDamageExRate
9,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),CENTER(6),0.0,40.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,尻尾薙ぎ払い,Tail_Swing,尻尾薙ぎ払い,||||||,10,,0,||||||,Tail3|Tail4|Tail5|Tail6|Tail7|Tail8|Tail9,Tail4|Tail5|Tail6|Tail7|Tail8|Tail9|Tail10,ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule|ContinuousCapsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.45}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.4}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.35}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.3}",,,,,,,,,,,,,,,,,,
10,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,65.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,突進（翼腕以外）,Rush,突進,|||||||||||||||||||||||||||||,11,,0,|||||||||||||||||||||||||||||,Head|Jaw_sub|Jaw_HJ|Neck1|Neck0|Chest|Spine1|Hip|L_ArmU0|L_ArmU1|L_ArmL0|L_Hand0|R_ArmU0|R_ArmU1|R_ArmL0|R_Hand0|L_LegU0|L_LegU1|L_LegL0|L_LegL1|R_LegU0|R_LegU1|R_LegL0|R_LegL1|Tail0|Tail1|Tail2|Tail3|Tail4|Tail5,Head|Jaw|Jaw_HJ|Neck2|Chest|Spine1|Spine0|Tail0|L_ArmU1|L_ArmL0|L_Hand0|L_Hand1|R_ArmU1|R_ArmL0|R_Hand0|R_Hand1|L_LegU1|L_LegL0|L_LegL1|L_Foot0|R_LegU1|R_LegL0|R_LegL1|R_Foot0|Tail1|Tail2|Tail3|Tail4|Tail5|Tail6,Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 1.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': -0.5}, 'radius': 0.75}|{'start': {'x': 0.0, 'y': -0.4, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.6, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -0.3, 'z': 0.5}, 'radius': 0.45}|{'start': {'x': 2.3198275e-07, 'y': 0.0, 'z': 0.65}, 'end': {'x': -5.231166e-08, 'y': 0.01, 'z': 0.06}, 'radius': 0.7}|{'start': {'x': 1.3470998e-07, 'y': 0.0, 'z': 0.0}, 'end': {'x': 4.929715e-07, 'y': 0.0, 'z': 1.0}, 'radius': 1.5}|{'start': {'x': 1.3470998e-07, 'y': 0.0, 'z': 0.0}, 'end': {'x': 4.929715e-07, 'y': 0.0, 'z': 1.0}, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.29, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.29, 'z': 0.0}, 'radius': 1.1}|{'start': {'x': -1.983257e-07, 'y': 0.0, 'z': -0.86}, 'end': {'x': -2.4960758e-07, 'y': 0.0, 'z': 0.01}, 'radius': 1.2}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': -0.0200001, 'y': -0.31000113, 'z': -0.31999993}, 'end': {'x': -0.07, 'y': 0.26, 'z': -0.16}, 'radius': 0.9}|{'start': {'x': -0.07, 'y': 0.26, 'z': -0.16}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0200001, 'y': -0.3100016, 'z': -0.31999993}, 'end': {'x': 0.06999993, 'y': 0.25999975, 'z': -0.16000009}, 'radius': 0.9}|{'start': {'x': 0.06999993, 'y': 0.25999975, 'z': -0.16000009}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.6}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.85}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.7}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.55}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}",,,,,,,,,,,,,,,,,,
12,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,65.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,突進（左翼腕）,RushWLeg_L,突進,||||,12,,0,||||,L_WingU0|L_WingU1|L_WingL0|L_HandW0|L_HandW1,L_WingU1|L_WingL0|L_HandW0|L_HandW1|L_HandW1,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': 1.5, 'y': 4.7683716e-07, 'z': -5.9604645e-08}, 'end': {'x': 2.3841858e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': -5.9604645e-08}, 'end': {'x': 2.3841858e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': -5.9604645e-08}, 'end': {'x': 2.3841858e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 1.7881393e-07, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': -0.5, 'y': 4.7683716e-07, 'z': -9.536743e-07}, 'radius': 0.8}|{'start': {'x': 1.0, 'y': 4.7683716e-07, 'z': 1.9073486e-06}, 'end': {'x': -0.49999842, 'y': 4.7683716e-07, 'z': -9.536743e-07}, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
13,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),FRONT(0),0.0,65.0,0.0,NORMAL(0),70.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,30.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,突進（右翼腕）,RushWLeg_R,突進,||||,13,,0,||||,R_WingU0|R_WingU1|R_WingL0|R_HandW0|R_HandW1,R_WingU1|R_WingL0|R_HandW0|R_HandW1|R_HandW1,Capsule|Capsule|Capsule|Capsule|Capsule,"{'start': {'x': -1.4999998, 'y': 4.7683716e-07, 'z': -4.7683716e-07}, 'end': {'x': -4.7683716e-07, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.8}|{'start': {'x': 0.0, 'y': 4.7683716e-07, 'z': 0.0}, 'end': {'x': 0.5, 'y': 4.7683716e-07, 'z': -7.1525574e-07}, 'radius': 0.8}|{'start': {'x': -1.0, 'y': 4.7683716e-07, 'z': 1.1920929e-06}, 'end': {'x': 0.49999857, 'y': 4.7683716e-07, 'z': -1.1920929e-06}, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
14,SMASH(21),CAPTURE_NET(-956543104),FRONT(0),0.0,60.0,0.0,ALL_RANGE(1),50.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,25.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,翼腕引き裂き,Tearing,翼腕引き裂き,|||||,14,,0,|||||,L_WingU0|L_WingL0|L_HandW1|R_WingU0|R_WingL0|R_HandW1,L_WingU1|L_HandW0||R_WingU1|R_HandW0|,Capsule|Capsule|Sphere|Capsule|Capsule|Sphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'x': 0.7, 'y': 0.0, 'z': 0.0, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'x': -0.6999998, 'y': 0.0, 'z': -2.3841858e-07, 'radius': 1.5}",,,,,,,,,,,,,,,,,,
15,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),FRONT(0),0.0,45.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,距離詰め翼腕攻撃,SurpriseAttack,距離詰め翼腕攻撃,||,8,,0,||,R_WingU0|R_WingL0|R_HandW0,R_WingU1|R_HandW0|R_HandW0,Capsule|Capsule|Capsule,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'start': {'x': -0.7000004, 'y': -5.066395e-07, 'z': -5.364418e-07}, 'end': {'x': -1.6151454, 'y': -0.018103808, 'z': 0.5920715}, 'radius': 1.3}",,,,,,,,,,,,,,,,,,
16,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),BACK(1),0.0,40.0,0.0,ALL_RANGE(1),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,前脚攻撃立ち上がり（左）,StandingUpAttack_L,前脚攻撃立ち上がり,||,16,,0,||,L_ArmU0|L_ArmL0|L_Hand1,L_ArmU1|L_Hand0|L_Hand1,Capsule|ContinuousCapsule|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'x': 0.0, 'y': 0.0, 'z': 0.5, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
17,SMASH_SMALL(-1838723072),CAPTURE_NET(-956543104),BACK(1),0.0,40.0,0.0,ALL_RANGE(1),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,15.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,前脚攻撃立ち上がり（右）,StandingUpAttack_R,前脚攻撃立ち上がり,||,15,,0,||,R_ArmU0|R_ArmL0|R_Hand1,R_ArmU1|R_Hand0|R_Hand1,Capsule|ContinuousCapsule|ContinuousSphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 0.5}|{'x': 0.0, 'y': 0.0, 'z': 0.5, 'radius': 1.0}",,,,,,,,,,,,,,,,,,
18,NORMAL(0),NONE(1996289920),CENTER(6),0.0,1.0,0.0,NORMAL(0),0.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,結晶全壊,CrystalDestruction,結晶全壊,,17,,0,結晶全壊,root,root,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 150.0}",,,,,,,,,,,,,,,,,,
19,WIND(6),NONE(1996289920),CENTER(6),0.0,1.0,0.0,UNABLE_GUARD(2),0.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),2,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,龍風圧（大技飛び立ち）,DragonWindFlying,龍風圧,シリンダー,18,,0,龍風圧（大技飛び立ち）,root,root,Capsule,"{'start': {'x': 0.0, 'y': 15.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -10.0, 'z': 0.0}, 'radius': 25.0}",,,,,,,,,,,,,,,,,,
20,WIND(6),NONE(1996289920),CENTER(6),0.0,1.0,0.0,UNABLE_GUARD(2),0.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),2,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,龍風圧（エネルギー衝撃波）,DragonWindEnergy,龍風圧,シリンダー,19,,0,龍風圧（エネルギー衝撃波）,root,root,Capsule,"{'start': {'x': 0.0, 'y': 12.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': -10.0, 'z': 0.0}, 'radius': 70.0}",,,,,,,,,,,,,,,,,,
21,SMASH_MIDDLE(20),CAPTURE_NET(-956543104),CENTER(6),0.0,30.0,0.0,NORMAL(0),30.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,0,NONE(0),False,False,NONE(3),,0.0,0.0,乗り（頭）,RideHead,乗り（頭）,|||,21,,0,|||,L_WingL0|L_HandW1|R_WingL0|R_HandW1,L_HandW0||R_HandW0|,Capsule|Sphere|Capsule|Sphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'x': 0.7, 'y': 0.0, 'z': 0.0, 'radius': 1.5}|{'start': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'end': {'x': 0.0, 'y': 0.0, 'z': 0.0}, 'radius': 1.0}|{'x': -0.6999998, 'y': 0.0, 'z': 0.0, 'radius': 1.5}",,,,,,,,,,,,,,,,,,
