RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,DamageLevel,ExtraGuardDamageAngles,ToEmDamageRate,BadConditionPresetGuid,FrenzyOutbreakPoint,AttackFilterType,IsParryFix,IsParryStockOnly,IsParryBreak,IsTechGuardBreak,IsBlockEnable,IsNoWakeUpPl,IsDropDamage,IsAffectScarVital,IsTearScarForce,IsCoercionEnemyDamage,IsKillable,IsUseCondValueEm,CondValueEm,IsForceCondEm,IsUseStunDamageEm,StunDamageEm,IsForceStunEm,EmRateAttack,LaserContinueDamageRate,FriendHitType,EnemyDamageType,IsEnergyAttack,IsExFieldContsCancel,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,PressLevel,IsSensorCollision,IsArrowFlipCollision,Parts,HitType,OwnRangeDegree,OwnRangeDegreeRiding,TargetRangeDegree,UniqueIndex,FreeInt,FreeFloat,Type
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,本体_押し,Push_Body,BOSS_XXX,|||||||||||,0,,0,|||||||||||,Center|Center|Center|Center|Center|Center|Center|Center|Center|Center|Arm|Arm,Center|Center|Center||Center|Center|Center|Center|Center|Center|Arm|,Sphere|Capsule|Capsule|Sphere|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Capsule|Sphere,"{'x': 0.0, 'y': -0.5, 'z': 0.0, 'radius': 2.5}|{'start': {'x': 0.0, 'y': 1.3000005, 'z': -0.9}, 'end': {'x': 0.0, 'y': 0.20000002, 'z': -0.9}, 'radius': 1.2}|{'start': {'x': -0.08, 'y': 2.25, 'z': -0.9}, 'end': {'x': -0.08, 'y': 1.9, 'z': -0.9}, 'radius': 0.75}|{'x': 0.0, 'y': 1.9, 'z': 0.75, 'radius': 0.6}|{'start': {'x': 1.6, 'y': 0.0, 'z': 1.1}, 'end': {'x': 1.6, 'y': 0.0, 'z': -1.0}, 'radius': 1.05}|{'start': {'x': -1.6, 'y': 0.0, 'z': 1.1}, 'end': {'x': -1.5, 'y': 0.0, 'z': -1.0}, 'radius': 1.05}|{'start': {'x': 1.4, 'y': 1.4901161e-08, 'z': 1.9}, 'end': {'x': -1.4, 'y': 0.0, 'z': 1.9}, 'radius': 0.7}|{'start': {'x': 1.5000001, 'y': 2.1, 'z': -1.75}, 'end': {'x': -1.5000001, 'y': 2.1, 'z': -1.75}, 'radius': 0.5}|{'start': {'x': 1.5000001, 'y': 1.3000002, 'z': -1.75}, 'end': {'x': -1.5000001, 'y': 1.3000002, 'z': -1.75}, 'radius': 0.5}|{'start': {'x': 1.3000001, 'y': 0.3, 'z': -1.5}, 'end': {'x': -1.3000001, 'y': 0.3, 'z': -1.5}, 'radius': 0.8}|{'start': {'x': 0.10000002, 'y': -0.2, 'z': 2.6999996}, 'end': {'x': 1.1000001, 'y': -0.2, 'z': 3.5999987}, 'radius': 0.3}|{'x': 1.55, 'y': -0.25, 'z': 3.6999998, 'radius': 0.45}",NO_MOVE(1),,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,敵_押し,Push_Enemy,BOSS_XXX,,1,,0,押し_敵,Center,,Sphere,"{'x': 0.0, 'y': 0.4, 'z': 0.4, 'radius': 2.8}",NO_MOVE(1),,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,PRIO_10(5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,後柵,Fence_B,後柵,傷回避,8,,0,後柵,Center,Center,Box,"{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.05, 'm31': 1.4000001, 'm32': -1.85, 'm33': 1.0}, 'Extent': {'x': 2.0, 'y': 1.8000001, 'z': 0.4}}",,False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '7efc1d18-af99-43c2-bf94-dba974aa336d'}}",,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,前柵,Fence_F,前柵,,5,,0,前柵,C_board_shock01,C_board_shock01,Box,"{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.0, 'm31': 0.15, 'm32': 0.0, 'm33': 1.0}, 'Extent': {'x': 1.3, 'y': 0.70000005, 'z': 0.45}}",,False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': 'd714770b-254c-4e23-aa38-dcec3d60d43d'}}",,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,左柵,Fence_L,左柵,|,6,,0,|,L_board_shock01|L_Wheel,L_board_shock01|L_Wheel,Box|Box,"{'Coord': {'m00': 0.90630776, 'm01': 0.4226183, 'm02': 0.0, 'm03': 0.0, 'm10': -0.4226183, 'm11': 0.90630776, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.0, 'm31': 0.0, 'm32': 0.24999999, 'm33': 1.0}, 'Extent': {'x': 0.35, 'y': 0.8, 'z': 1.95}}|{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.0, 'm31': 0.0, 'm32': 0.0, 'm33': 1.0}, 'Extent': {'x': 0.1, 'y': 0.8, 'z': 0.8}}",,False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '8750c762-3213-4db8-9dde-6e1ce8043925'}}",,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,右柵,Fence_R,右柵,|,7,,0,|,R_board_shock01|R_Wheel,R_board_shock01|R_Wheel,Box|Box,"{'Coord': {'m00': 0.90630776, 'm01': 0.4226183, 'm02': 0.0, 'm03': 0.0, 'm10': -0.4226183, 'm11': 0.90630776, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.0, 'm31': 0.0, 'm32': -0.25, 'm33': 1.0}, 'Extent': {'x': 0.35, 'y': 0.8, 'z': 1.95}}|{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.0, 'm31': 0.0, 'm32': 0.0, 'm33': 1.0}, 'Extent': {'x': 0.1, 'y': 0.8, 'z': 0.8}}",,False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '8030b5b5-7eee-4026-8ca8-a5bd9d31f472'}}",,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,PRIO_8(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アーム,Arm,アーム,||,9,,0,||,Arm|Arm|Arm,Arm|Arm|,Capsule|Capsule|Sphere,"{'start': {'x': 0.0, 'y': 0.0, 'z': -0.4}, 'end': {'x': 0.0, 'y': -0.1, 'z': 2.3}, 'radius': 0.25}|{'start': {'x': 1.4901161e-08, 'y': -0.1, 'z': 2.5}, 'end': {'x': 1.1000001, 'y': -0.10000002, 'z': 3.5999987}, 'radius': 0.35}|{'x': 1.55, 'y': -0.25, 'z': 3.7, 'radius': 0.5}",,False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '3e5b5a24-d759-4a90-a1b3-82a51cdd92ba'}}",,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,PRIO_7(8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大タル,Barrel_B,本体,||,2,,0,||,L_barrel|R_barrel|C_barrel,L_barrel|R_barrel|C_barrel,Capsule|Capsule|Sphere,"{'start': {'x': 0.0, 'y': 0.1, 'z': 0.40000004}, 'end': {'x': 0.0, 'y': 0.1, 'z': -0.3}, 'radius': 0.75}|{'start': {'x': 0.0, 'y': 0.1, 'z': 0.4}, 'end': {'x': 0.0, 'y': 0.1, 'z': -0.3}, 'radius': 0.75}|{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.65}",,False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '61f96dd1-406b-4d93-bd36-560b9bc79cc1'}}",,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,PRIO_7(8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小タル,Barrel_S,本体,||||,3,,0,||||,SmallBarrel02_CH_01|SmallBarrel03_02|SmallBarrel03|SmallBarrel04|SmallBarrel05,SmallBarrel01|SmallBarrel02|SmallBarrel03|SmallBarrel04|SmallBarrel05,Box|Box|Box|Box|Box,"{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.0, 'm31': 0.0, 'm32': 0.0, 'm33': 1.0}, 'Extent': {'x': 0.55, 'y': 0.25, 'z': 0.55}}|{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.0, 'm31': 0.1, 'm32': 0.0, 'm33': 1.0}, 'Extent': {'x': 0.75, 'y': 0.25, 'z': 0.6}}|{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.05, 'm31': 0.0, 'm32': 0.1, 'm33': 1.0}, 'Extent': {'x': 0.95, 'y': 0.25, 'z': 0.8}}|{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.05, 'm31': 0.0, 'm32': 0.1, 'm33': 1.0}, 'Extent': {'x': 1.05, 'y': 0.25, 'z': 0.85}}|{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.05, 'm31': 0.0, 'm32': 0.1, 'm33': 1.0}, 'Extent': {'x': 1.0, 'y': 0.25, 'z': 0.8}}",,False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '61f96dd1-406b-4d93-bd36-560b9bc79cc1'}}",,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,PRIO_7(8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,土台,Base,本体,|,4,,0,|,Center|Center,Center|Center,Box|Box,"{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': 0.025, 'm31': 0.55, 'm32': -0.6, 'm33': 1.0}, 'Extent': {'x': 1.35, 'y': 0.8000001, 'z': 0.75}}|{'Coord': {'m00': 1.0, 'm01': 0.0, 'm02': 0.0, 'm03': 0.0, 'm10': 0.0, 'm11': 1.0, 'm12': 0.0, 'm13': 0.0, 'm20': 0.0, 'm21': -0.0, 'm22': 1.0, 'm23': 0.0, 'm30': -0.025, 'm31': 0.1, 'm32': 0.8000001, 'm33': 1.0}, 'Extent': {'x': 1.25, 'y': 0.3, 'z': 0.9}}",,False,False,"{'app.col_user_data.DamageParamEm.cParts': {'_Category': '[0]PARTS', '_PartsDataGuid': '61f96dd1-406b-4d93-bd36-560b9bc79cc1'}}",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em0165_00_Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,剥ぎ取り,Hagitori,ActBtnParam,,0,,0,,,,,,,,,,POS_ONLY(0),0.0,NULL,0.0,PARTS_01(2),0.0,0.0,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,転倒センサー（対PL）,DownSensorPLPut,SensorParamEm,,1,,0,,,,,,,,,,,,,,,,,CLIBMABLE_DIE(3)
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,センサー当たり,SensorReceiver,,,2,,0,,,,Sphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 1.0}",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em0165_00_Shell_Attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,20.0,0.0,NORMAL(0),5.0,AUTO(-1149658496),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,10.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),0,[],1.0,00000000-0000-0000-0000-000000000000,0.0,DEFAULT(0),False,False,False,False,False,False,False,False,False,False,False,False,0.0,False,False,0.0,False,0.0,1.0,NONE(0),AUTO(1006222464),False,False,NONE(3),,0.0,0.0,小タル,S_Barrel,小タル,,0,,0,小タル,,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,,,,,,
