RSID,DamageTypeFixed,DamageTypeCustom,DamageAngleFixed,DamageAngleOffsetDeg,Attack,FixAttack,GuardType,VersusGuardPower,StageDamageTypeFixed,StageDamageExIDFixed,AttackAttrFixed,AttrLevel,AttrValue,AttackCond,IsForceCond,CondValue,IsUseCondDefaultSec,CondCustomSec,StunDamage,FlagBit,MultiHitTimer,HealValue,PriorityFixed,PriorityTypeFixed,DisableContactPointAdjust,IsContactPointAdjustIgnoreDamageAngle,PorterDodgeFixed,ActionTypeFixed,PartsBreakRate,ParryDamage,RideDamage,BattleRidingAttackType,RidingScarDamage,RidingSuccessDamage,RidingSuccessDamageRawScar,IsSkillHien,IsPointAttack,IsPrePointHitReaction,TearScarCreateRate,TearScarDamageRate,RawScarDamageRate,OldScarDamageRate,IsScarForceChange,IsRawScarForce,IsRawScarLimit,IsWeakPointLimit,NoDamageReaction,IsMultiHitEmParts,MultiHitEmPartsMaxNum,IsMultiHitEmWeak,MultiHitEmWeakMaxNum,MultiHitRateCurve,IsLaserGuardCounter,IsWpPhysicalAttack,IsNoUseKireaji,IsForceUseKireajiAttackRate,IsCustomKireajiReduce,CustomKireajiReduce,UseStatusAttackPower,UseStatusAttrPower,StatusAttrRate,StatusConditionRate,UseSkillAdditionalDamage,UseSkillContinuousAttack,MultiHitStatusRateCurve,IsNoCritical,IsCustomShockAbsorberRate,CustomShockAbsorberRate,IsGestureAttack,IsDisableAnimalAttack,IsExFieldWpAttackFinal,ExEmote03AttackType,HitEffectTypeFixed,DisableHitEffect,HitEffectAngleZ,HitEffectAngleX,HitEffectOverwriteConnectID,GeneralValue1,GeneralValue2,GeneralValue3,FriendDamageTypeFixed,IsSensor,CameraShakeGuid,IsEnableMotSeqCameraShake,CollabDamageUIType,IgnoreRecoil,HitStopType,HitStopIgnoreResponse,RSName,RSKName,colName,colShapeName,GroupIndex,GName,GLayerIndex,GShapeNames,GJointNames1,GJointNames2,GShapeTypes,GShapeParams,PressLevel,Type,CaptureDamage,ShellReflectionFlag,SlingerCatchDamageType,SpecialType,IsHitMortarShell
13,NORMAL(0),NONE(1996289920),FRONT(0),0.0,11.9,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,7.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,5bc58ea7-8c13-4b69-9b33-3f3e1544915a,False,NONE(7350),False,BASH_01(20102),False,立ち弱キック1,,立ち弱キック1,,8,,0,,R_Shin,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.25, 'radius': 0.6}",,,,,,,
14,NORMAL(0),NONE(1996289920),FRONT(0),0.0,10.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,5bc58ea7-8c13-4b69-9b33-3f3e1544915a,False,NONE(7350),False,BASH_02(26069),False,立ち中キック1,,立ち中キック1,,9,,0,,R_Knee,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.135, 'radius': 0.53}",,,,,,,
15,NORMAL(0),NONE(1996289920),FRONT(0),0.0,7.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,3.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,5bc58ea7-8c13-4b69-9b33-3f3e1544915a,False,NONE(7350),False,BASH_01(20102),False,立ち強キック1,,立ち強キック1,,4,,0,,R_Foot,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
16,NORMAL(0),NONE(1996289920),FRONT(0),0.0,9.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,4.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,5bc58ea7-8c13-4b69-9b33-3f3e1544915a,False,NONE(7350),False,BASH_03(21237),False,立ち強キック2,,立ち強キック2,,6,,0,,L_Foot,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
17,NORMAL(0),NONE(1996289920),FRONT(0),0.0,13.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,102,0.0,0.0,0.0,GESTURE(7),False,d20dfd96-316e-4456-9fa4-987bf9c0ae6e,False,EX_01(10743),False,BASH_01(20102),False,OD金剛灼火1,,OD金剛灼火1,,12,,0,,L_Hand,,ContinuousSphere,"{'x': 0.1, 'y': -0.2, 'z': 0.2, 'radius': 0.55}",,,,,,,
18,NORMAL(0),NONE(1996289920),FRONT(0),0.0,15.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,7.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,102,0.0,0.0,0.0,GESTURE(7),False,d20dfd96-316e-4456-9fa4-987bf9c0ae6e,False,EX_01(10743),False,W_SLASH_00(16322),False,OD金剛灼火2,,OD金剛灼火2,,13,,0,,R_Hand,,ContinuousSphere,"{'x': -0.1, 'y': 0.2, 'z': 0.0, 'radius': 0.55}",,,,,,,
19,NORMAL(0),NONE(1996289920),FRONT(0),0.0,25.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,8.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,103,0.0,0.0,0.0,NORMAL(0),False,5e2dc9d3-86d0-4843-b84b-182688d8c9b8,False,EX_01(10743),False,BASH_03(21237),False,OD金剛灼火3,,OD金剛灼火3,,14,,0,,L_Hand,,ContinuousSphere,"{'x': 0.1, 'y': 0.15, 'z': -0.1, 'radius': 0.55}",,,,,,,
20,NORMAL(0),NONE(1996289920),FRONT(0),0.0,9.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,4.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,070c921e-0a6b-43f7-95e4-b13703c8a6e5,False,EX_02(7614),False,BASH_01(20102),False,OD竜巻斬空脚1,,OD竜巻斬空脚1,,4,,0,,R_Foot,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
21,NORMAL(0),NONE(1996289920),FRONT(0),0.0,12.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,3.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,070c921e-0a6b-43f7-95e4-b13703c8a6e5,False,EX_02(7614),False,BASH_01(20102),False,OD竜巻斬空脚2,,OD竜巻斬空脚2,,6,,0,,L_Foot,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
22,NORMAL(0),NONE(1996289920),FRONT(0),0.0,26.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,5.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,NORMAL(0),False,10ae6cbb-7cb6-4be8-9c08-f111ca6afb85,False,EX_02(7614),False,BASH_01(20102),False,OD竜巻斬空脚3,,OD竜巻斬空脚3,,4,,0,,R_Foot,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
23,NORMAL(0),CAPTURE_NET(-956543104),FRONT(0),0.0,7.3695,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,True,True,1.0,1.0,1.0,1.0,False,False,True,True,False,False,1,False,1,,False,True,False,False,False,10,True,False,1.0,1.0,False,False,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,101,0.0,0.0,0.0,NONE(55),False,2fc75828-8da8-4085-ab79-2cc9d64ae740,False,NONE(7350),True,INVALID(-361180672),False,ドライブインパクト傷破壊検知,,ドライブインパクト傷破壊検知,,7,,0,,COG,COG,Capsule,"{'start': {'x': 0.0, 'y': 1.0, 'z': 1.0}, 'end': {'x': 0.0, 'y': -0.05, 'z': 1.0}, 'radius': 1.05}",,,,,,,
25,NORMAL(0),NONE(1996289920),FRONT(0),0.0,11.9,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,7.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,5bc58ea7-8c13-4b69-9b33-3f3e1544915a,False,NONE(7350),False,BASH_01(20102),False,立ち弱キック1_上段保険,,立ち弱キック1,,5,,0,,root,,ContinuousSphere,"{'x': -0.23968776, 'y': 1.2631899, 'z': 0.95, 'radius': 0.55}",,,,,,,
26,NORMAL(0),NONE(1996289920),FRONT(0),0.0,11.7912,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,False,True,True,1.0,1.0,1.0,1.0,False,False,True,True,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,NORMAL(0),False,00000000-0000-0000-0000-000000000000,False,EX_04(19285),True,BASH_02(26069),False,ドライブインパクト通常ヒット,,ドライブインパクト通常ヒット,,2,,0,,R_Hand,,ContinuousSphere,"{'x': -0.1, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
27,NORMAL(0),NONE(1996289920),FRONT(0),0.0,13.0,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,3.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,070c921e-0a6b-43f7-95e4-b13703c8a6e5,False,EX_02(7614),False,BASH_00(17477),False,,,,,4,,0,,R_Foot,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
28,NORMAL(0),NONE(1996289920),FRONT(0),0.0,14.0165,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,3.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,True,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,100,0.0,0.0,0.0,GESTURE(7),False,070c921e-0a6b-43f7-95e4-b13703c8a6e5,False,EX_02(7614),False,BASH_00(17477),False,,,,,4,,0,,R_Foot,,ContinuousSphere,"{'x': 0.0, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
29,NORMAL(0),NONE(1996289920),UP(2),0.0,4.4217,0.0,NORMAL(0),0.0,S(165454032),NONE(-94023312),NONE(0),0,0.0,NONE(1220034176),False,0.0,True,0.0,0.0,NONE(0),0.0,0.0,PRIO_8(7),ATTACK_FIRST(0),False,False,AUTO(-1072110528),BLOW(2),1.0,0.0,0.0,NONE(0),NULL,0.0,0.0,True,False,False,1.0,1.0,1.0,1.0,False,False,False,False,False,False,1,False,1,,False,False,False,False,False,10,True,False,1.0,1.0,False,False,,False,False,1.0,True,False,False,NONE(0),BLOW(8),,0.0,0.0,110,0.0,0.0,0.0,GESTURE(7),False,766400ce-1115-41a8-bc43-ad5c910c4643,False,EX_10(23568),False,SLASH_01(330801824),False,,,,,15,,0,,R_Hand,,ContinuousSphere,"{'x': -0.1, 'y': 0.0, 'z': 0.0, 'radius': 0.5}",,,,,,,
